store_id	store_name	store_desc	store_address	store_rating	longitute	latitude	website	image	store_min_order	storetype	tags	store_delivery_time	delivery int	store_delivery_fee
10001	Γύρος ο Θεσσαλονικιός	Αυτός είναι ο γύρος και στη Θεσσαλονίκη έχει παράδοση ποιότητα και ποσότητα ενώ εκτός από την πίτα φιλοξενείται και σε άλλα είδη ψωμιού με ποικιλία σε σαλάτες και συνοδευτικά.	Leoforos Aglantzias 19 Aglantzia Λευκωσία	3.74				{https://external-content.duckduckgo.com/iu/?u=http%3A%2F%2Factivecyprus.com%2Fcatalog_images%2Fscaled%2F180x150_crop_1363966472.png&f=1&nofb=1}	5	3333		40'	40	€1.70
10002	Four Seasons	Με την γνωστή σχέση ποιότητας-τιμής των pizza roma....αλλά και με εξυπηρέτηση σφεντόνα...με ευγένεια και σεβασμό στον πελάτη...θα σας αφήσει παντοιοτρόπως...ικανοποιημένους.	Stasinou 7a Engomi Λευκωσία	3.95				{https://deliverymanstorage.blob.core.windows.net/storelogos/1579767634224_four_seasons_logo.jpg}	0	3333		30'	30	€2.00 - 4.00
10003	Aladdin Falafel & Hot Dog Experience	Storefront choice with ethnic decor accents serving Middle Eastern specialties till the wee hours.	Ledras 87-89 Λευκωσία	4.5				{https://media-cdn.tripadvisor.com/media/photo-s/04/8e/00/5e/aladdin-falafel-corner.jpg}	12	3333		30'	30	€1.80 - 2.50
10004	Night Mode	If you have allergies or other dietary restrictions please contact the restaurant. The restaurant will provide food-specific information upon request.	Kilkis 8B Agioi Omologites Λευκωσία	3.98				{https://media-cdn.tripadvisor.com/media/photo-p/18/8b/9c/88/cafe-la-mode.jpg}	10	3333		30'	30	€2.00
10005	Bizzy Bee Nicosia	Berawa’s Sweet and Savoury Crêpe Shop Specializing in Salad and Sandwich Bar & Artisanal Juices.	Σίμου Μενάνδρου 16 Λευκωσία	4.19				{https://deliverymanstorage.blob.core.windows.net/storelogos/1560937119607_bizzy_logo.jpg}	0	3333		30'	30	€1.50 - 3.00
10006	Περίπτερο Νίκης 32	Αλμυρά Σνακς Ξηροί Καρποί Γλυκά Σνακς & Μπισκότα	Nikis 32 Λευκωσία	4.57				{https://cyprusdelivery.com.cy/wp-content/uploads/2020/01/MEDIUM.jpg}		1111		30'	30	
10007	Sushitime	Freshly prepared sushi in Nicosia	Diagorou 4E Λευκωσία	3.67				{https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSEFpVLZpu1v6x2ezisGT09o86u__Eh-V1Bzw&usqp=CAU}	10	3333		30'	30	€0.00 - 3.00
10008	Wok in a Box	In the summer of 2017 we opened our first street food restaurant in Nicosia. After months of search and test-outs motivated by our genuine love for the Asiatic cuisine we combined the flavours of the orient with the Mediterranean temperament and uniquely offer them in our own noodle box.	Nikis 5A Avenue Λευκωσία	4.54				{https://www.wokinabox.com.cy/images/logo.png}	0	3333		30'	30	€1.70
10009	Pasta Strada	What makes pasta so popular? Such a simple meal so tasty and enjoyable? Here at Pasta Strada we combine our love for pasta with a selection of fresh ingredients top quality carefully selected by us all from local producers and Cypriot companies. We prepare our recipes with love and passion and deliver them in minutes.	Αριστείδου 34 Άγιος Δομέτιος Λευκωσία	4.79				{https://pastastrada.com.cy/wp-content/uploads/2020/06/pasta-strata-logo-no-background.png}	0	3333		30'	30	€1.00 - 2.00
10010	Γλυκός Πύργος 	Τρίγωνα Πανοράματος Λευκωσία.	Grigori Afxentiou 201 Agios Dometios Λευκωσία	4				{https://cdn.foody.com.cy/files/5fce99f6bb6a3__logo-100x.jpg}	5	3333		30'	30	€0.00
